Epoch,loss,val_loss
1,0.1345,0.1348
2,0.1329,0.1337
3,0.1318,0.1326
4,0.1304,0.1315
5,0.1295,0.1305
6,0.1284,0.1294
7,0.1276,0.1285
8,0.1266,0.1275
9,0.1255,0.1265
10,0.1245,0.1257
11,0.1233,0.1246
12,0.1229,0.1236
13,0.1215,0.1226
14,0.1206,0.1217
15,0.1193,0.1208
16,0.1189,0.1199
17,0.1178,0.119
18,0.1167,0.118
19,0.1161,0.1172
20,0.1148,0.1162
21,0.1138,0.1155
22,0.1131,0.1146
23,0.1123,0.1135
24,0.1112,0.1128
25,0.1104,0.112
26,0.1098,0.1111
27,0.109,0.1103
28,0.1079,0.1095
29,0.107,0.1087
30,0.1064,0.1079
31,0.1054,0.1073
32,0.1047,0.1064
33,0.104,0.1054
34,0.1029,0.1047
35,0.1027,0.1039
36,0.1014,0.1031
37,0.1009,0.1024
38,0.1002,0.1016
39,0.0994,0.1009
40,0.0986,0.1002
41,0.0978,0.0994
42,0.0968,0.0986
43,0.096,0.0978
44,0.0953,0.0971
45,0.0949,0.0965
46,0.0938,0.0958
47,0.0933,0.0951
48,0.0926,0.0944
49,0.0918,0.0938
50,0.0912,0.0931
51,0.0905,0.0925
52,0.0898,0.0918
53,0.0891,0.091
54,0.0888,0.0903
55,0.0878,0.0896
56,0.0871,0.0891
57,0.0865,0.0884
58,0.0859,0.0878
59,0.0853,0.0872
60,0.0846,0.0863
61,0.0842,0.0857
62,0.0832,0.0852
63,0.0827,0.0847
64,0.0821,0.0841
65,0.0815,0.0833
66,0.0811,0.0828
67,0.0802,0.0821
68,0.0797,0.0817
69,0.079,0.0809
70,0.0787,0.0804
71,0.0783,0.0797
72,0.0775,0.0792
73,0.0768,0.0785
74,0.0761,0.078
75,0.0757,0.0775
76,0.0752,0.0769
77,0.0747,0.0762
78,0.074,0.0758
79,0.0732,0.0754
80,0.073,0.0749
81,0.0726,0.0743
82,0.0717,0.0739
83,0.0713,0.0731
84,0.0705,0.0727
85,0.0702,0.0723
86,0.0695,0.0719
87,0.0691,0.0713
88,0.0688,0.0706
89,0.0684,0.0702
90,0.0677,0.0698
91,0.0672,0.0693
92,0.0665,0.0687
93,0.0663,0.0683
94,0.0657,0.0679
95,0.0651,0.0673
96,0.0647,0.067
97,0.0643,0.0665
98,0.064,0.0659
99,0.0633,0.0655
100,0.0627,0.0651
101,0.0624,0.0645
102,0.0621,0.0642
103,0.0617,0.0635
104,0.061,0.0633
105,0.0605,0.0628
106,0.0601,0.0624
107,0.0598,0.0621
108,0.0594,0.0617
109,0.0589,0.0611
110,0.0585,0.0607
111,0.0581,0.0603
112,0.0575,0.0598
113,0.0573,0.0593
114,0.0569,0.0591
115,0.0566,0.0586
116,0.0561,0.0581
117,0.0555,0.0578
118,0.0549,0.0574
119,0.0548,0.0572
120,0.0544,0.0566
121,0.054,0.0562
122,0.0534,0.0559
123,0.0531,0.0553
124,0.0527,0.0549
125,0.0525,0.0547
126,0.0519,0.0544
127,0.0518,0.0539
128,0.051,0.0539
129,0.051,0.0534
130,0.0506,0.0528
131,0.0501,0.0526
132,0.05,0.0522
133,0.0494,0.0518
134,0.0492,0.0516
135,0.049,0.0512
136,0.0485,0.0508
137,0.0481,0.0504
138,0.0478,0.05
139,0.0473,0.0498
140,0.047,0.0495
141,0.0468,0.0491
142,0.0465,0.0488
143,0.046,0.0486
144,0.0458,0.0483
145,0.0453,0.0479
146,0.0451,0.0476
147,0.0449,0.0475
148,0.0447,0.047
149,0.0441,0.0469
150,0.0439,0.0465
151,0.0436,0.0464
152,0.0433,0.0458
153,0.0429,0.0455
154,0.0426,0.0452
155,0.0422,0.0451
156,0.0419,0.0448
157,0.0417,0.0443
158,0.0414,0.044
159,0.0414,0.0437
160,0.0406,0.0436
161,0.0404,0.0433
162,0.0402,0.0429
163,0.0401,0.0426
164,0.0398,0.0426
165,0.0394,0.042
166,0.0393,0.042
167,0.0387,0.0415
168,0.0388,0.0413
